Publication Type,Authors,Article Title,Source Title,Publication Year,DOI
J,"Zhang, KK; Xu, DY; Li, SR; Zhou, N; Xiong, JH",Has China's Pilot Emissions Trading Scheme Influenced the Carbon Intensity of Output?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2019,10.3390/ijerph16101854
J,"Zhang, MY; Lu, JY",IMPACT OF CARBON EMISSION TRADING PILOT POLICY ON GREEN INNOVATION CAPABILITY IN CHINA,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,2023,10.30638/eemj.2023.163
J,"He, YZ; Song, W",Analysis of the Impact of Carbon Trading Policies on Carbon Emission and Carbon Emission Efficiency,SUSTAINABILITY,2022,10.3390/su141610216
J,"Liu, F; Fu, Y; Wang, WG",Heterogeneous Effects of China's Carbon Market on Carbon Emissions-Evidence from a Regression Control Method,SUSTAINABILITY,2024,10.3390/su16010089
J,"Chen, L; Wang, D; Shi, RY",Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19158932
J,"Wu, RR; Qin, ZF",Assessing market efficiency and liquidity: Evidence from China's emissions trading scheme pilots,SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2020.144707
J,"Yi, L; Bai, N; Yang, L; Li, ZP; Wang, F",Evaluation on the effectiveness of China's pilot carbon market policy,JOURNAL OF CLEANER PRODUCTION,2020,10.1016/j.jclepro.2019.119039
J,"Zha, DL; Xu, T; Wang, M",How does carbon emissions trading affect China's energy intensity?,JOURNAL OF THE ASIA PACIFIC ECONOMY,2024,10.1080/13547860.2024.2378533
J,"Jia, JJ; Xu, JH; Fan, Y",The impact of verified emissions announcements. on the European Union emissions trading scheme: A bilaterally modified dummy variable modelling analysis,APPLIED ENERGY,2016,10.1016/j.apenergy.2016.04.027
J,"Wu, RX; Tan, ZZ; Lin, BQ",Does carbon emission trading scheme really improve the CO2 emission efficiency? Evidence from China's iron and steel industry,ENERGY,2023,10.1016/j.energy.2023.127743
J,"Jaraite, J; Di Maria, C",Did the EU ETS Make a Difference? An Empirical Assessment Using Lithuanian Firm-Level Data,ENERGY JOURNAL,2016,10.5547/01956574.37.1.jjar
J,"Zhao, ZQ; Li, YY; Su, XH",Beggar-thy-neighbor: Carbon leakage within China's pilot emissions trading schemes,SUSTAINABLE PRODUCTION AND CONSUMPTION,2024,10.1016/j.spc.2024.04.004
J,"Shi, XY; Xu, YZ; Sun, WY",Evaluating China's pilot carbon Emission Trading Scheme: collaborative reduction of carbon and air pollutants,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2024,10.1007/s11356-022-24685-z
J,"Cludius, J; Duscha, V; Friedrichsen, N; Schumacher, K",Cost-efficiency of the EU Emissions Trading System: An Evaluation of the Second Trading Period,ECONOMICS OF ENERGY & ENVIRONMENTAL POLICY,2019,10.5547/2160-5890.8.1.jclu
J,"Guo, YW; Lin, YF; Yi, MM; You, WH",How does China's carbon emissions trading policy affect green technology innovation? Evidence from enterprises in carbon-covered industries,APPLIED ECONOMICS,2024,10.1080/00036846.2024.2439064
J,"Liu, ZL; Sun, HB",Assessing the impact of emissions trading scheme on low-carbon technological innovation: Evidence from China,ENVIRONMENTAL IMPACT ASSESSMENT REVIEW,2021,10.1016/j.eiar.2021.106589
J,"Basaglia, P; Grunau, J; Drupp, MA",The European Union Emissions Trading System might yield large co-benefits from pollution reduction,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2024,10.1073/pnas.2319908121
J,"Tan, XP; Wang, XY",The market performance of carbon trading in China: A theoretical framework of structure-conduct-performance,JOURNAL OF CLEANER PRODUCTION,2017,10.1016/j.jclepro.2017.05.019
J,"Wang, Q; Gao, CY; Dai, SP",Effect of the Emissions Trading Scheme on CO2 Abatement in China,SUSTAINABILITY,2019,10.3390/su11041055
J,"Bel, G; Joseph, S",Emission abatement: Untangling the impacts of the EU ETS and the economic crisis,ENERGY ECONOMICS,2015,10.1016/j.eneco.2015.03.014
J,"Ren, F; Liu, XL",Evaluation of carbon emission reduction effect and porter effect of China's carbon trading policy,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,10.1007/s11356-023-25593-6
J,"Weng, ZX; Liu, TT; Cheng, CY",Reduction effect of carbon markets: A case study of the Beijing-Tianjin-Hebei region of China,FRONTIERS IN ENVIRONMENTAL SCIENCE,2022,10.3389/fenvs.2022.1013708
J,"Wang, BB; Jotzo, F; Qi, SZ","Ex-post cap adjustment for China's ETS: an applicable indexation rule, simulating the Hubei ETS, and implications for a national scheme",CLIMATE POLICY,2018,10.1080/14693062.2016.1277684
J,"Aatola, P; Ollikainen, M; Toppinen, A",Price determination in the EU ETS market: Theory and econometric analysis with market fundamentals,ENERGY ECONOMICS,2013,10.1016/j.eneco.2012.09.009
