Publication Type,Authors,Article Title,Source Title,Publication Year,DOI
J,"He, YZ; Song, W",Analysis of the Impact of Carbon Trading Policies on Carbon Emission and Carbon Emission Efficiency,SUSTAINABILITY,2022,10.3390/su141610216
J,"Liu, F; Fu, Y; Wang, WG",Heterogeneous Effects of China's Carbon Market on Carbon Emissions-Evidence from a Regression Control Method,SUSTAINABILITY,2024,10.3390/su16010089
J,"Chen, L; Wang, D; Shi, RY",Can China's Carbon Emissions Trading System Achieve the Synergistic Effect of Carbon Reduction and Pollution Control?,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19158932
J,"Yi, L; Bai, N; Yang, L; Li, ZP; Wang, F",Evaluation on the effectiveness of China's pilot carbon market policy,JOURNAL OF CLEANER PRODUCTION,2020,10.1016/j.jclepro.2019.119039
J,"Shi, XY; Xu, YZ; Sun, WY",Evaluating China's pilot carbon Emission Trading Scheme: collaborative reduction of carbon and air pollutants,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2024,10.1007/s11356-022-24685-z
J,"Wang, Q; Gao, CY; Dai, SP",Effect of the Emissions Trading Scheme on CO2 Abatement in China,SUSTAINABILITY,2019,10.3390/su11041055
J,"Bel, G; Joseph, S",Emission abatement: Untangling the impacts of the EU ETS and the economic crisis,ENERGY ECONOMICS,2015,10.1016/j.eneco.2015.03.014
J,"Li, ZG; Wang, J",Spatial emission reduction effects of China's carbon emissions trading: quasi-natural experiments and policy spillovers,CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT,2021,10.1016/j.cjpre.2021.12.027
J,"Zhang, HR; Liu, Y",Can the pilot emission trading system coordinate the relationship between emission reduction and economic development goals in China?,JOURNAL OF CLEANER PRODUCTION,2022,10.1016/j.jclepro.2022.132629
J,"Cheng, X; Yu, ZY; Gao, JY; Liu, YT; Jiang, SW",Governance effects of pollution reduction and carbon mitigation of carbon emission trading policy in China,ENVIRONMENTAL RESEARCH,2024,10.1016/j.envres.2024.119074
J,"Zhang, H; Wu, JY",The Energy Saving and Emission Reduction Effect of Carbon Trading Pilot Policy in China: Evidence from a Quasi-Natural Experiment,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2022,10.3390/ijerph19159272
J,"Wen, HX; Chen, ZR; Nie, PY",Environmental and economic performance of China's ETS pilots: New evidence from an expanded synthetic control method,ENERGY REPORTS,2021,10.1016/j.egyr.2021.05.024
J,"Zhang, WJ; Zhang, N; Yu, YN",Carbon mitigation effects and potential cost savings from carbon emissions trading in China's regional industry,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,2019,10.1016/j.techfore.2018.12.014
J,"Feng, R; Lin, PA; Hou, CX; Jia, SS",Study of the Effect of China's Emissions Trading Scheme on Promoting Regional Industrial Carbon Emission Reduction,FRONTIERS IN ENVIRONMENTAL SCIENCE,2022,10.3389/fenvs.2022.947925
J,"Anderson, B; Di Maria, C",Abatement and Allocation in the Pilot Phase of the EU ETS,ENVIRONMENTAL & RESOURCE ECONOMICS,2011,10.1007/s10640-010-9399-9
J,"Qu, SJ; Ma, HR",The impact of carbon policy on carbon emissions in various industrial sectors based on a hybrid approach,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2023,10.1007/s10668-022-02673-0
J,"Ma, Q; Yan, G; Ren, XH; Ren, XS",Can China's carbon emissions trading scheme achieve a double dividend?,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2022,10.1007/s11356-022-19453-y
J,"Fern?ndez, YF; L?pez, MAF; Hern?ndez, DG; Blanco, BO",Institutional Change and Environment: Lessons from the European Emission Trading System,ENERGIES,2018,10.3390/en11040706
J,"Bayer, P; Aklin, M",The European Union Emissions Trading System reduced CO2 emissions despite low prices,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2020,10.1073/pnas.1918128117
J,"Shen, J; Tang, PC; Zeng, H",Does China's carbon emission trading reduce carbon emissions? Evidence from listed firms,ENERGY FOR SUSTAINABLE DEVELOPMENT,2020,10.1016/j.esd.2020.09.007
J,"Biancalani, F; Gnecco, G; Metulini, R; Riccaboni, M",The impact of the European Union emissions trading system on carbon dioxide emissions: a matrix completion analysis,SCIENTIFIC REPORTS,2024,10.1038/s41598-024-70260-6
J,"Zhang, YY; Wang, K",Mitigation effect of the European Union emission trading system on aviation emissions,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,2024,10.1016/j.trd.2024.104186
J,"Li, ZG; Wang, J; Che, S",Synergistic Effect of Carbon Trading Scheme on Carbon Dioxide and Atmospheric Pollutants,SUSTAINABILITY,2021,10.3390/su13105403
J,"Lin, BQ; Huang, CC",Analysis of emission reduction effects of carbon trading: Market mechanism or government intervention?,SUSTAINABLE PRODUCTION AND CONSUMPTION,2022,10.1016/j.spc.2022.06.016
J,"Peng, HR; Qi, SZ; Cui, JB",The environmental and economic effects of the carbon emissions trading scheme in China: The role of alternative allowance allocation,SUSTAINABLE PRODUCTION AND CONSUMPTION,2021,10.1016/j.spc.2021.03.031
J,"Park, H; Khue, PM; Lee, J",The effects of carbon emissions trading on profitability and value: Evidence from Korean listed firms,JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,2024,10.1111/jifm.12211
J,"Hu, Y; Li, R; Du, L; Ren, S; Chevallier, J",Could SO2 and CO2 emissions trading schemes achieve co-benefits of emissions reduction?,ENERGY POLICY,2022,10.1016/j.enpol.2022.113252
J,"Xia, QY; Li, L; Dong, J; Zhang, B",Reduction Effect and Mechanism Analysis of Carbon Trading Policy on Carbon Emissions from Land Use,SUSTAINABILITY,2021,10.3390/su13179558
J,"Shi, W; Sang, J; Zhou, JC; Ding, XW; Li, Z",Can carbon emission trading improve carbon emission performance? Evidence from a quasi-natural experiment in China,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,2023,10.1007/s11356-023-31060-z
J,"Dong, F; Dai, YJ; Zhang, SN; Zhang, XY; Long, RY",Can a carbon emission trading scheme generate the Porter effect? Evidence from pilot areas in China,SCIENCE OF THE TOTAL ENVIRONMENT,2019,10.1016/j.scitotenv.2018.10.395
J,"Qi, XY; Han, Y",How Carbon Trading Reduces China's Pilot Emissions: An Exploration Combining LMDI Decomposition and Synthetic Control Methods,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,2020,10.15244/pjoes/115212
J,"Vespermann, J; Wald, A",Much Ado about Nothing? - An analysis of economic impacts and ecologic effects of the EU-emission trading scheme in the aviation industry,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,2011,10.1016/j.tra.2010.03.005
J,"Xian, BT; Wang, YN; Xu, YL; Wang, J; Li, XY",Assessment of the co-benefits of China's carbon trading policy on carbon emissions reduction and air pollution control in multiple sectors,ECONOMIC ANALYSIS AND POLICY,2024,10.1016/j.eap.2024.01.011
J,"Yang, ZF; Yuan, YN; Zhang, QZ","Carbon Emission Trading Scheme, Carbon Emissions Reduction and Spatial Spillover Effects: Quasi-Experimental Evidence From China",FRONTIERS IN ENVIRONMENTAL SCIENCE,2022,10.3389/fenvs.2021.824298
J,"Tian, GL; Yu, SW; Wu, Z; Xia, Q",Study on the Emission Reduction Effect and Spatial Difference of Carbon Emission Trading Policy in China,ENERGIES,2022,10.3390/en15051921
J,"Liu, N; Yang, SY; Gao, XW; Yang, RR",Policy Coordination Effects of APPCAP and ETS on Pollution and Carbon Reduction,ENERGIES,2024,10.3390/en17235819
J,"Cl?, S; Ferraris, M; Florio, M",Ownership and environmental regulation: Evidence from the European electricity industry,ENERGY ECONOMICS,2017,10.1016/j.eneco.2016.12.001
J,"Shi, BB; Li, N; Gao, Q; Li, GQ","Market incentives, carbon quota allocation and carbon emission reduction: Evidence from China's carbon trading pilot policy",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2022,10.1016/j.jenvman.2022.115650
J,"Xu, YY; Zhao, S; Chu, BX; Zhu, YL",Emission Reduction Effects of China's National Carbon Market: Evidence Based on the Power Sector,ENERGIES,2024,10.3390/en17122859
J,"Wang, XX; Huang, JL; Liu, HD",Can China's carbon trading policy help achieve Carbon Neutrality?-A study of policy effects from the Five-sphere Integrated Plan perspective,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2022,10.1016/j.jenvman.2021.114357
J,"Zheng, SM; Li, Y; Xie, HY",What makes the synergy between pollution and carbon emission control effective? Based on an evaluation of the carbon emissions trading pilot policy,ENVIRONMENTAL RESEARCH COMMUNICATIONS,2024,10.1088/2515-7620/ad9cf3
J,"Chen, S; Shi, AN; Wang, X","Carbon emission curbing effects and influencing mechanisms of China's Emission Trading Scheme: The mediating roles of technique effect, composition effect and allocation effect",JOURNAL OF CLEANER PRODUCTION,2020,10.1016/j.jclepro.2020.121700
J,"Lan, JS; Li, WL; Zhu, XW",The road to green development: How can carbon emission trading pilot policy contribute to carbon peak attainment and neutrality? Evidence from China,FRONTIERS IN PSYCHOLOGY,2022,10.3389/fpsyg.2022.962084
J,"Qiu, HN; Yang, B; Liu, Y; Wang, LP",Emissions Reduction Effects and Carbon Leakage Risks of Carbon Emissions Trading Policy: An Empirical Study Based on the Spatial Durbin Model,SUSTAINABILITY,2024,10.3390/su16219544
J,"Li, SJ; Liu, JG; Wu, JJ; Hu, XY",Spatial spillover effect of carbon emission trading policy on carbon emission reduction: Empirical data from transport industry in China*,JOURNAL OF CLEANER PRODUCTION,2022,10.1016/j.jclepro.2022.133529
J,"Adamolekun, G",Carbon price and firm greenhouse gas emissions,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2024,10.1016/j.jenvman.2023.119496
J,"Kim, P; Bae, H",Do firms respond differently to the carbon pricing by industrial sector? How and why? A comparison between manufacturing and electricity generation sectors using firm-level panel data in Korea,ENERGY POLICY,2022,10.1016/j.enpol.2021.112773
J,"Li, XS; Shu, YX; Jin, X","Environmental regulation, carbon emissions and green total factor productivity: a case study of China",ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,2022,10.1007/s10668-021-01546-2
