Publication Type,Authors,Article Title,Source Title,Publication Year,DOI
J,"Tan, XJ; Wang, R; Choi, Y; Lee, H",Does Korea's carbon emissions trading scheme enhance efficiency for sustainable energy and utilities?,UTILITIES POLICY,2024,10.1016/j.jup.2024.101752
J,"Park, H; Khue, PM; Lee, J",The effects of carbon emissions trading on profitability and value: Evidence from Korean listed firms,JOURNAL OF INTERNATIONAL FINANCIAL MANAGEMENT & ACCOUNTING,2024,10.1111/jifm.12211
J,"Sonnenschein, J; Mundaca, L",Decarbonization under green growth strategies? The case of South Korea,JOURNAL OF CLEANER PRODUCTION,2016,10.1016/j.jclepro.2015.08.060
J,"Nyonho, O; Miteva, DA; Lee, YH",Impact of Korea's emissions trading scheme on publicly traded firms,PLOS ONE,2023,10.1371/journal.pone.0285863
J,"Sam, AG; Song, DB",ISO 14001 certification and industrial decarbonization: An empirical study,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2022,10.1016/j.jenvman.2022.116169
J,"Mo, JY",Environmental policy and R&D productivity: A case study from the Korean Emissions Trading Scheme,SCIENCE AND PUBLIC POLICY,2023,10.1093/scipol/scac053
J,"Oh, H; Jun, S; Kim, JY; Chu, HY",Korea's emissions trading system for low-carbon energy and economic transformation: a quantitative study evaluating the impact of phase I of the KETS on energy efficiency and the energy mix,ENERGY EFFICIENCY,2023,10.1007/s12053-023-10093-w
J,"Suk, S; Liu, XB; Lee, SY; Go, S; Sudo, K",Affordability of energy cost increases for Korean companies due to market-based climate policies: a survey study by sector,JOURNAL OF CLEANER PRODUCTION,2014,10.1016/j.jclepro.2013.12.053
J,"Lee, H",Is carbon neutrality feasible for Korean manufacturing firms?: The CO2 emissions performance of the Metafrontier Malmquist-Luenberger index,JOURNAL OF ENVIRONMENTAL MANAGEMENT,2021,10.1016/j.jenvman.2021.113235
J,"Shin, J; Hong, SG; Lee, S; Hong, S; Lee, J",Estimation of soil carbon sequestration and profit analysis on mitigation of CO2-eq. emission in cropland cooperated with compost and biochar,APPLIED BIOLOGICAL CHEMISTRY,2017,10.1007/s13765-017-0298-4
