Authors,PY,Title,Journal,DOI,Jurisdiction,Page,Findings or Recommendations?,Category,Specification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernandez Fernandez, Yolanda; Fernandez Lopez, Maria Angeles; Gonzalez Hernandez, David; Olmedillas Blanco, Blanca",2018,Institutional Change and Environment: Lessons from the European Emission Trading System,ENERGIES,10.3390/en11040706,EU,12,Findings,Price formation and market features,More participants lead to competition and thus market liquidity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernandez Fernandez, Yolanda; Fernandez Lopez, Maria Angeles; Gonzalez Hernandez, David; Olmedillas Blanco, Blanca",2018,Institutional Change and Environment: Lessons from the European Emission Trading System,ENERGIES,10.3390/en11040706,EU,12,Findings,Institutional governance,Regulations should be improved and stronger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fernandez Fernandez, Yolanda; Fernandez Lopez, Maria Angeles; Gonzalez Hernandez, David; Olmedillas Blanco, Blanca",2018,Institutional Change and Environment: Lessons from the European Emission Trading System,ENERGIES,10.3390/en11040706,EU,12,Recommendations,"Monitoring, reporting, and verification",Systematic monitoring system should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayer, Patrick; Aklin, Michael",2020,The European Union Emissions Trading System reduced CO2 emissions despite low prices,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1918128117,EU,8809,Recommendations,Price formation and market features,Amount of allowances should be reduced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayer, Patrick; Aklin, Michael",2020,The European Union Emissions Trading System reduced CO2 emissions despite low prices,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.1918128117,EU,8809,Recommendations,Institutional governance,Regulations should be improved and stronger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clo, Stefano; Ferraris, Matteo; Florio, Massimo",2017,Ownership and environmental regulation: Evidence from the European electricity industry,ENERGY ECONOMICS,10.1016/j.eneco.2016.12.001,EU,311,Findings,Institutional governance,Market should keep mixed with state-owned and private enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, YY; Wang, K",2024,Mitigation effect of the European Union emission trading system on aviation emissions,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,10.1016/j.trd.2024.104186,EU,12,Recommendations,Coverage and scope,More sectors should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, YY; Wang, K",2024,Mitigation effect of the European Union emission trading system on aviation emissions,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,10.1016/j.trd.2024.104186,EU,13,Recommendations,"Monitoring, reporting, and verification",Unified analytical evaulation framework should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He, Yizhang; Song, Wei",2022,Analysis of the Impact of Carbon Trading Policies on Carbon Emission and Carbon Emission Efficiency,SUSTAINABILITY,10.3390/su141610216,China,16-17,Recommendations,Complementary policies,Association with green finance should be in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He, Yizhang; Song, Wei",2022,Analysis of the Impact of Carbon Trading Policies on Carbon Emission and Carbon Emission Efficiency,SUSTAINABILITY,10.3390/su141610216,China,17,Recommendations,Coverage and scope,More sectors should be included,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
